BUS_ID,BUS_NAME,VBASEKV,REG,U_FED
321.0,EMBORC-MG138,138.0,Sudeste-Centro-Oeste,MG
322.0,FRUTA-BIO138,138.0,Sudeste-Centro-Oeste,MG
323.0,ITUTIN-MG138,138.0,Sudeste-Centro-Oeste,MG
324.0,MSQ-T3-MG013,13.8,Sudeste-Centro-Oeste,MG
325.0,JAGUAR-MG500,500.0,Sudeste-Centro-Oeste,MG
326.0,JAGUAR-MG345,345.0,Sudeste-Centro-Oeste,MG
327.0,SOBRAG-MG138,138.0,Sudeste-Centro-Oeste,MG
328.0,J.RLC7-MG138,138.0,Sudeste-Centro-Oeste,MG
329.0,MSQ-T2-MG013,13.8,Sudeste-Centro-Oeste,MG
330.0,JAGUAR-MG138,138.0,Sudeste-Centro-Oeste,MG
331.0,J.FORA-MG345,345.0,Sudeste-Centro-Oeste,MG
332.0,J.FORAPCH138,138.0,Sudeste-Centro-Oeste,MG
333.0,JFORA3-MG013,13.8,,
334.0,JFORA4-MG013,13.8,,
335.0,JFORA5-MG013,13.8,,
336.0,LAFAIE-MG345,345.0,Sudeste-Centro-Oeste,MG
337.0,LAFAIE-MG138,138.0,Sudeste-Centro-Oeste,MG
338.0,LAF-T3-MG013,13.8,Sudeste-Centro-Oeste,MG
339.0,LAF-T4-MG013,13.8,Sudeste-Centro-Oeste,MG
340.0,MIRAND-MG138,138.0,Sudeste-Centro-Oeste,MG
341.0,MCLARO-MG345,345.0,Sudeste-Centro-Oeste,MG
342.0,MCLAR2-MG138,138.0,Sudeste-Centro-Oeste,MG
343.0,IGARAPUHE003,992.0,Sudeste-Centro-Oeste,MG
344.0,MESQUI-MG500,500.0,Sudeste-Centro-Oeste,MG
345.0,MESQUI-MG230,230.0,Sudeste-Centro-Oeste,MG
346.0,MESQUISIN001,13.8,Sudeste-Centro-Oeste,MG
348.0,VALADAPCH138,138.0,Sudeste-Centro-Oeste,MG
349.0,NEVES--MG500,500.0,Sudeste-Centro-Oeste,MG
350.0,NEVES--MG345,345.0,Sudeste-Centro-Oeste,MG
351.0,NEVES1-MG013,13.8,Sudeste-Centro-Oeste,MG
352.0,NEVES2-MG013,13.8,Sudeste-Centro-Oeste,MG
353.0,NEVES-BIO138,138.0,Sudeste-Centro-Oeste,MG
354.0,NEVE1-SIN001,990.0,Sudeste-Centro-Oeste,MG
355.0,NEVE2-SIN001,990.0,Sudeste-Centro-Oeste,MG
360.0,NPONTE-MG500,500.0,Sudeste-Centro-Oeste,MG
361.0,J.FOR5-MG138,138.0,Sudeste-Centro-Oeste,MG
362.0,PASSOS-MG138,138.0,Sudeste-Centro-Oeste,MG
364.0,P.CAL1-MG138,138.0,Sudeste-Centro-Oeste,MG
365.0,P.CAL2-MG138,138.0,Sudeste-Centro-Oeste,MG
367.0,PIMENT-MG345,345.0,Sudeste-Centro-Oeste,MG
368.0,PIMENT-MG138,138.0,Sudeste-Centro-Oeste,MG
370.0,SSIMAO-MG500,500.0,Sudeste-Centro-Oeste,MG
371.0,SGONC1-MG013,13.5,Sudeste-Centro-Oeste,MG
372.0,TAQUAR-MG345,345.0,Sudeste-Centro-Oeste,MG
373.0,TAQUAR-MG230,230.0,Sudeste-Centro-Oeste,MG
374.0,TAQUA1-MG013,13.8,Sudeste-Centro-Oeste,MG
375.0,TAQUA2-MG013,13.8,Sudeste-Centro-Oeste,MG
376.0,TAQUAR-MG138,138.0,Sudeste-Centro-Oeste,MG
377.0,SGONC-PCH138,138.0,Sudeste-Centro-Oeste,MG
378.0,SGONCA-MG500,500.0,Sudeste-Centro-Oeste,MG
380.0,TMARIA-MG345,345.0,Sudeste-Centro-Oeste,MG
381.0,TMARIA-MG289,289.0,Sudeste-Centro-Oeste,MG
382.0,TMARIA-MG138,138.0,Sudeste-Centro-Oeste,MG
384.0,OPRET2-MG500,500.0,Sudeste-Centro-Oeste,MG
385.0,OPRETO-MG345,345.0,Sudeste-Centro-Oeste,MG
386.0,OPRET2-MG138,138.0,Sudeste-Centro-Oeste,MG
389.0,OPRET2CER013,13.5,Sudeste-Centro-Oeste,MG
389.0,OPRET2CER013,13.5,Sudeste-Centro-Oeste,MG
389.0,OPRET2CER013,13.5,Sudeste-Centro-Oeste,MG
389.0,OPRET2CER013,13.5,Sudeste-Centro-Oeste,MG
390.0,SGOTAR-MG500,500.0,Sudeste-Centro-Oeste,MG
391.0,SGOTA2-MG345,345.0,Sudeste-Centro-Oeste,MG
392.0,UBERL1PCH138,138.0,Sudeste-Centro-Oeste,MG
394.0,GVALA2-MG230,230.0,Sudeste-Centro-Oeste,MG
395.0,SGOTA3-MG013,13.8,Sudeste-Centro-Oeste,MG
396.0,VGRAND-MG345,345.0,Sudeste-Centro-Oeste,MG
397.0,SGOTA4-MG013,13.8,Sudeste-Centro-Oeste,MG
398.0,VPALMA-MG345,345.0,Sudeste-Centro-Oeste,MG
399.0,VPALM-PCH138,138.0,Sudeste-Centro-Oeste,MG
402.0,ARARQ2SIN003,13.8,Sudeste-Centro-Oeste,SP
403.0,PIR88-UTE000,992.0,Sudeste-Centro-Oeste,SP
404.0,PIR230UTE000,992.0,Sudeste-Centro-Oeste,SP
405.0,NPIRA1UTE000,992.0,Sudeste-Centro-Oeste,SP
406.0,NPIRA2UTE000,992.0,Sudeste-Centro-Oeste,SP
409.0,GUAIMBUFV034,34.5,Sudeste-Centro-Oeste,SP
410.0,E.SOUZ-SP230,230.0,Sudeste-Centro-Oeste,SP
411.0,ESOUZA-SP088,88.0,Sudeste-Centro-Oeste,SP
412.0,TOYOT--SP230,230.0,Sudeste-Centro-Oeste,SP
413.0,REPLAN-SP440,440.0,Sudeste-Centro-Oeste,SP
414.0,OESTE--SP440,440.0,Sudeste-Centro-Oeste,SP
415.0,OESTE--SP088,88.0,Sudeste-Centro-Oeste,SP
421.0,PIRITU-SP230,230.0,Sudeste-Centro-Oeste,SP
422.0,PIRITU-SP088,88.0,Sudeste-Centro-Oeste,SP
423.0,ROSANA-SP230,230.0,Sudeste-Centro-Oeste,SP
424.0,ROSA7D-SP138,138.0,Sudeste-Centro-Oeste,SP
425.0,TRCEN1-SP230,230.0,Sudeste-Centro-Oeste,SP
426.0,TRCEN2-SP230,230.0,Sudeste-Centro-Oeste,SP
427.0,CENTRO-SP230,230.0,Sudeste-Centro-Oeste,SP
428.0,CENTRO-SP088,88.0,Sudeste-Centro-Oeste,SP
