BUS_ID;BUS_NAME;VBASEKV;TP;ARE;MODV_PU;ANGV_DEG;BASE_MVA;PG_MW;QG_MVAR;PMAX_MW;PMIN_MW;QMX_MVAR;QMN_MVAR;Ger_Units;Ger_Active_Units;PL_MW;QL_MVAR;TC;VMAX_PU;VMIN_PU;BCO_ID;B0_MVAR;ST;SHUNT_INST_IND;SHUNT_INST_CAP;Dia;Hora;Gen_Type;U_FED;REG;Latitude;Longitude;key
123.0;CAMPIN-SP345;345.0;0.0;204.0;1.002928;-27.6031;;;;;;;;;;;;1.0;1.05;0.95;123.0;0.0;1.0;0.0;200.0;01;00-00;;SP;Sudeste-Centro-Oeste;-22.774201;-47.004621;D_1_H_00-00
126.0;GUARUL-SP345;345.0;0.0;204.0;1.022164;-31.9657;;;;;;;;;;;;1.0;1.05;0.95;126.0;0.0;1.0;0.0;250.0;01;00-00;;SP;Sudeste-Centro-Oeste;-23.442541;-46.585484;D_1_H_00-00
129.0;MOGI---SP345;345.0;0.0;204.0;0.999918;-30.9618;;;;;;;;;;;;;;;;;;;;01;00-00;;SP;Sudeste-Centro-Oeste;-23.503735;-46.169846;D_1_H_00-00
131.0;M.MORA-MG345;345.0;0.0;352.0;1.039881;-7.119;;;;;;;;;;;;;;;;;;;;01;00-00;;MG;Sudeste-Centro-Oeste;-20.286561;-47.069916;D_1_H_00-00
134.0;LCBARR-SP345;345.0;0.0;204.0;1.018394;-5.9153;;;;;;;;;;;;;;;;;;;;01;00-00;;SP;Sudeste-Centro-Oeste;-20.155287;-47.284213;D_1_H_00-00
136.0;FURNAS-MG345;345.0;0.0;352.0;1.031876;-10.197;;;;;;;;;;;;;;;;;;;;01;00-00;;MG;Sudeste-Centro-Oeste;-20.66732;-46.319262;D_1_H_00-00
138.0;ITUTIN-MG345;345.0;0.0;352.0;1.026752;-11.1412;;;;;;;;;;;;1.0;1.05;0.95;138.0;-100.0;1.0;-160.0;0.0;01;00-00;;MG;Sudeste-Centro-Oeste;-21.297053;-44.628422;D_1_H_00-00
140.0;ADRIAN-RJ345;345.0;0.0;252.0;1.015783;-16.2493;;;;;;;;;;;;1.0;1.05;0.95;140.0;0.0;1.0;0.0;325.0;01;00-00;;RJ;Sudeste-Centro-Oeste;-22.665712;-43.476932;D_1_H_00-00
144.0;JACARE-RJ345;345.0;0.0;252.0;1.01099;-18.2483;;;;;;;;;;;;;;;;;;;;01;00-00;;RJ;Sudeste-Centro-Oeste;-22.923911;-43.420783;D_1_H_00-00
147.0;CAMPOS-RJ345;345.0;0.0;252.0;1.010967;1.7258;;;;;;;;;;;;1.0;1.05;0.95;147.0;0.0;1.0;0.0;120.0;01;00-00;;RJ;Sudeste-Centro-Oeste;-21.719534;-41.338472;D_1_H_00-00
149.0;VITORI-ES345;345.0;0.0;302.0;1.002453;-3.4336;;;;;;;;;;;;;;;;;;;;01;00-00;;ES;Sudeste-Centro-Oeste;-20.194191;-40.294523;D_1_H_00-00
154.0;VITAT2-ES013;13.8;0.0;302.0;0.997014;-6.7701;;;;;;;;;;;;1.0;1.1;0.9;154.0;0.0;1.0;0.0;30.0;01;00-00;;ES;Sudeste-Centro-Oeste;-20.194191;-40.294523;D_1_H_00-00
155.0;VITAT3-ES013;13.8;0.0;302.0;0.996301;-6.9412;;;;;;;;;;;;1.0;1.05;0.9;155.0;0.0;1.0;0.0;30.0;01;00-00;;ES;Sudeste-Centro-Oeste;-20.194191;-40.294523;D_1_H_00-00
156.0;VITAT4-ES013;13.8;0.0;302.0;0.996034;-6.6245;;;;;;;;;;;;1.0;1.1;0.9;156.0;0.0;1.0;0.0;30.0;01;00-00;;ES;Sudeste-Centro-Oeste;-20.194191;-40.294523;D_1_H_00-00
161.0;MO-FCE-SP230;230.0;0.0;205.0;0.997323;-31.274;;;;;;;;;;;;;;;;;;;;01;00-00;;SP;Sudeste-Centro-Oeste;-23.503735;-46.169846;D_1_H_00-00
163.0;CAMPI1-SP013;13.8;0.0;204.0;0.990655;-29.7431;;;;;;;;;;;;1.0;1.2;0.8;163.0;-50.0;1.0;-50.0;0.0;01;00-00;;SP;Sudeste-Centro-Oeste;-22.774201;-47.004621;D_1_H_00-00
165.0;P.CAL2-MG013;13.8;0.0;352.0;0.964482;-22.5502;;;;;;;;;;;;1.0;1.05;0.95;165.0;-50.0;1.0;-50.0;0.0;01;00-00;;MG;Sudeste-Centro-Oeste;-21.797915;-46.612409;D_1_H_00-00
167.0;JA-R60-RJ013;13.8;0.0;252.0;1.024632;-20.5546;;;;;;;;;;;;1.0;1.1;0.95;167.0;-30.0;1.0;-30.0;0.0;01;00-00;;RJ;Sudeste-Centro-Oeste;-22.923911;-43.420783;D_1_H_00-00
169.0;SJOSE2-RJ138;138.0;0.0;254.0;0.966649;-19.6931;;;;;;;;;;;;1.0;1.05;0.95;169.0;0.0;1.0;0.0;500.0;01;00-00;;RJ;Sudeste-Centro-Oeste;-22.91709;-43.750502;D_1_H_00-00
170.0;P.CALD-MG138;138.0;0.0;359.0;1.03441;-22.2219;;;;;;;;;;;;1.0;1.05;1.0;170.0;0.0;1.0;0.0;150.0;01;00-00;;MG;Sudeste-Centro-Oeste;-21.521611;-45.412614;D_1_H_00-00
171.0;CAMPI1-SP138;138.0;0.0;207.0;1.014057;-30.0046;;;;;;;;;;0.96;0.0;;;;;;;;;01;00-00;;SP;Sudeste-Centro-Oeste;-23.19972222;-45.88333333;D_1_H_00-00
172.0;IMBARE-RJ138;138.0;0.0;256.0;0.952548;-21.2314;;;;;;;;;;;;;;;;;;;;01;00-00;;RJ;Sudeste-Centro-Oeste;-22.71666667;-43.23833333;D_1_H_00-00
173.0;ADRIAN-RJ138;138.0;0.0;256.0;1.004228;-16.458;;;;;;;;;;;;;;;;;;;;01;00-00;;RJ;Sudeste-Centro-Oeste;-22.71666667;-43.23833333;D_1_H_00-00
174.0;R.LEAO-RJ138;138.0;0.0;258.0;1.005926;-4.5613;;;;;;;;;;;;1.0;1.1;0.9;174.0;0.0;1.0;0.0;150.0;01;00-00;;RJ;Sudeste-Centro-Oeste;-21.9217;-42.7907;D_1_H_00-00
175.0;CAMPOS-RJ138;138.0;0.0;259.0;1.018536;-0.4083;;;;;;;;;;0.257;0.0;1.0;1.1;0.9;175.0;0.0;1.0;0.0;100.0;01;00-00;;RJ;Sudeste-Centro-Oeste;-21.724823;-41.346288;D_1_H_00-00
177.0;VITOR1-ES138;138.0;0.0;304.0;1.011196;-6.4356;;;;;;;;;;;;;;;;;;;;01;00-00;;ES;Sudeste-Centro-Oeste;-20.194191;-40.294523;D_1_H_00-00
178.0;GRAJAU-RJ138;138.0;0.0;254.0;0.977787;-20.7917;;;;;;;;;;;;;;;;;;;;01;00-00;;RJ;Sudeste-Centro-Oeste;-22.91709;-43.750502;D_1_H_00-00
180.0;JACAR2-RJ138;138.0;0.0;254.0;0.968639;-20.4383;;;;;;;;;;;;1.0;1.05;0.95;180.0;0.0;1.0;0.0;200.0;01;00-00;;RJ;Sudeste-Centro-Oeste;-22.91709;-43.750502;D_1_H_00-00
181.0;ANGDEF-RJ138;138.0;0.0;251.0;0.982861;-18.6424;;;;;;;;;;;;;;;;;;;;01;00-00;;RJ;Sudeste-Centro-Oeste;-23.008611;-44.454948;D_1_H_00-00
182.0;FUNIL--RJ138;138.0;0.0;255.0;0.981439;-20.4698;;;;;;;;;;;;;;;;;;;;01;00-00;;RJ;Sudeste-Centro-Oeste;-22.526586;-44.572512;D_1_H_00-00
183.0;C.PAUL-SP138;138.0;0.0;214.0;1.008676;-19.8355;;;;;;;;;;;;;;;;;;;;01;00-00;;SP;Sudeste-Centro-Oeste;-22.632745;-45.035694;D_1_H_00-00
184.0;S.CRUZ-RJ138;138.0;0.0;254.0;0.961574;-19.585;;;;;;;;;;;;;;;;;;;;01;00-00;;RJ;Sudeste-Centro-Oeste;-22.91709;-43.750502;D_1_H_00-00
185.0;ANGRA--RJ138;138.0;0.0;255.0;0.981079;-12.306;;;;;;;;;;3.05;1.473;1.0;1.05;0.95;185.0;0.0;1.0;0.0;25.0;01;00-00;;RJ;Sudeste-Centro-Oeste;-22.526586;-44.572512;D_1_H_00-00
186.0;CAMP54-SP013;13.8;0.0;202.0;0.902973;-27.9595;;;;;;;;;;;;;;;;;;;;01;00-00;;SP;Sudeste-Centro-Oeste;-22.774201;-47.004621;D_1_H_00-00
187.0;M.MORA-MG138;138.0;0.0;358.0;1.035764;-8.9575;;;;;;;;;;;;;;;;;;;;01;00-00;;MG;Sudeste-Centro-Oeste;-18.790278;-48.147222;D_1_H_00-00
190.0;P.COL--MG138;138.0;0.0;208.0;1.015655;-14.6308;;;;;;;;;;;;;;;;;;;;01;00-00;;MG;Sudeste-Centro-Oeste;-22.505;-48.545;D_1_H_00-00
192.0;CAMPO1-RJ013;13.8;0.0;252.0;1.008315;-0.525;;;;;;;;;;;;;;;;;;;;01;00-00;;RJ;Sudeste-Centro-Oeste;-21.724823;-41.346288;D_1_H_00-00
194.0;ADRT55-RJ013;13.8;0.0;251.0;0.968793;-15.9772;;;;;;;;;;;;1.0;1.1;0.9;194.0;-50.0;1.0;-50.0;0.0;01;00-00;;RJ;Sudeste-Centro-Oeste;-22.665712;-43.476932;D_1_H_00-00
195.0;ADRT53-RJ013;13.8;0.0;251.0;0.874179;-15.8734;;;;;;;;;;;;1.0;1.05;0.95;195.0;-50.0;1.0;-50.0;0.0;01;00-00;;RJ;Sudeste-Centro-Oeste;-22.665712;-43.476932;D_1_H_00-00
